,stop_id,name,lat,lon
91,4409,Lansdowne Ave At Tycos Dr,43.7041899,-79.4603299
92,14189,Bombay Loop At Avenue Rd,43.7436099,-79.42418
93,3377,Brooklawn Ave At Barkdene Hills,43.71686,-79.2338
94,10836,Passmore Ave At Dynamic Dr,43.8297699,-79.2539
95,9636,Brimley Rd At Anson Ave,43.7243499,-79.2427899
96,9162,Leslie St At Old Cummer Ave,43.7940299,-79.3690899
97,8182,St Clair Ave West At Russell Hill Rd West Side,43.68526,-79.4083899
98,5921,O'Connor Dr At Binswood Ave East Side,43.6985699,-79.32516
99,9749,Heathrow Dr At Jane St East Side,43.72494,-79.5090499
100,4568,Roncesvalles Ave At Boustead Ave North Side,43.65317,-79.45155
101,6406,Grantbrook St At Blake Ave North Side,43.7799899,-79.4325999
102,8807,Willowdale Ave At Hollywood Ave South Side,43.76779,-79.40138
103,0327,Bayview Ave At York Rd South Side,43.74581,-79.38384
104,12023,McNicoll Ave At McCowan Rd,43.8178299,-79.27221
105,15627,Chesswood Dr At Champagne Dr South Side,43.7638899,-79.47649
106,14633,Don Mills Station,43.7762199,-79.34705
107,9357,Steeles Ave East At Warden Ave,43.81985,-79.3241199
108,8145,St Clair Ave East At Welland Ave,43.69108,-79.3797199
109,1216,Lankin Blvd At O'Connor Dr,43.69736,-79.33042
110,15620,Shoreham Dr At Shoreham Crt West Side,43.76916,-79.5192599
111,11052,Old Dundas St At Varsity Rd West Side,43.6642299,-79.5023
112,3270,Albion Rd At Finch Ave West,43.74106,-79.58958
113,1475,Rathburn Rd At Elmcrest Rd,43.64767,-79.5866699
114,7024,Royal York Rd At Romney Rd,43.6691599,-79.5208499
115,12521,Islington Ave At Finch Ave West South Side,43.7457699,-79.56875
116,11549,Finchdene Sq At Torham Pl,43.8195299,-79.2330899
117,5154,Lake Shore Blvd West At Fifteenth St,43.59867,-79.5143999
118,3789,Islington Ave At Fairway Rd,43.6549699,-79.5280399
119,3636,Gateway Blvd (South Side) At Grenoble Dr (South Side),43.71166,-79.33013
120,4069,900 Kennedy Rd,43.7399599,-79.2712899
121,10514,3507 Ellesmere Rd,43.78871,-79.1791399
122,6706,Pharmacy Ave At St Bedes Rd,43.70469,-79.2888
123,0845,College St At St George St,43.6587999,-79.39574
124,7136,Sheppard Ave East At Opposite Walkway To Hutcherson Sq,43.79751,-79.2200599
125,0362,Bellamy Rd North At Lawrence Ave East,43.7579099,-79.2354699
126,9667,Brimley Rd At Danjohn Cres (North) South Side,43.81287,-79.28065
127,4003,Keele St At Keelegate Dr,43.7328299,-79.4833799
128,4838,Brimorton Dr At Dalehurst Ave,43.77089,-79.2142099
129,0610,240 Bridgeland Ave,43.7245099,-79.46828
130,0938,Davenport Rd At Dufferin St,43.67309,-79.4407799
131,0510,Bloor St West At The East Mall,43.6367499,-79.55681
132,9962,Crosby Ave At Warren Cres,43.6617,-79.5000899
133,6658,Pharmacy Ave At Albion Ave,43.6957,-79.28492
134,5542,Maple Leaf Dr At Bourdon Ave,43.71106,-79.4963599
135,14803,Wilson Station,43.73446,-79.45074
136,2439,Evans Ave At Eastwick Rd,43.61762,-79.5155199
137,6562,McNicoll Ave At Tiffield Rd East Side,43.8208599,-79.25995
138,1236,Lawrence Ave West At Yonge St (Lawrence Station),43.72496,-79.4023999
139,3198,Woodbine Ave At Cosburn Ave,43.6963,-79.31725
140,7316,Sherbourne St At Front St East,43.65022,-79.36769
141,9129,1183 Finch Ave West,43.7651099,-79.48303
142,11248,Raab Blvd At Hospital Rd West Side (K & L Wings),43.7226399,-79.37596
143,8108,Sloane Ave At Kenewen Crt,43.73414,-79.31131
144,3839,Islington Ave At St Andrews Blvd,43.70143,-79.54883
145,14813,York Mills Station,43.7453099,-79.40602
146,8259,4545 Steeles Ave West,43.7718999,-79.53807
147,4322,Kipling Ave At Hinton Rd,43.7257099,-79.5732499
148,3445,470 Coronation Dr,43.7645399,-79.16898
149,15193,Tapscott Rd At Select Ave,43.8335199,-79.24683
150,14677,Eglinton West Station,43.69961,-79.4364799
151,2148,Dundas St West At The East Mall Cres,43.63037,-79.5491699
152,11541,John Garland Blvd At Jamestown Cres (East),43.7341899,-79.58249
